Country,LE_index,LE_female,LE_male,smoking,narco,Obesity,GDP,Happiness,ge,meat,corr,ed,aversal,inflation,co2,alcohol
United Arab Emirates,83.07,84.32,82.17,8.20,4.99,31.50,77959.00,6.73,0.72,67.47,42.08,0.74,3.77,2.17,21.36,0.70
United Kingdom,81.45,83.33,79.54,12.50,4.16,28.07,60620.00,6.75,0.84,97.00,70.00,0.90,4.29,3.00,5.00,8.70
United States,79.46,81.98,77.05,23.60,21.28,42.90,85810.00,6.73,0.72,67.47,42.08,0.94,6.56,2.40,14.21,13.90
United States Virgin Islands,75.7,81.48,70.73,17.67,1.74,23.48,49793.00,5.50,0.72,67.47,42.08,0.67,1.20,5.62,4.76,5.43
Uruguay,78.29,82.04,74.38,19.10,0.76,34.70,36418.00,6.61,0.72,67.47,42.08,0.91,1.23,3.11,2.52,6.40
Uzbekistan,72.53,75.55,69.56,15.80,0.91,28.05,11879.00,6.20,0.68,45.00,31.00,0.79,0.46,7.20,3.79,6.00
Vanuatu,71.65,74.11,69.58,17.67,0.24,28.05,3602.00,5.50,0.68,63.50,47.00,0.73,1.35,2.30,0.70,5.20
Venezuela,72.67,76.66,68.88,17.67,0.81,19.90,17349.00,5.61,0.72,43.00,10.00,0.57,0.31,172.00,3.44,6.90
Vietnam,74.74,79.38,70.05,21.70,1.31,22.80,16385.00,6.04,0.71,100.20,41.00,0.70,0.56,3.35,3.29,5.40
Yemen,69.44,71.55,67.37,20.60,2.68,2.10,3164.00,3.56,0.72,21.70,13.00,0.65,0.48,5.62,0.32,0.40
Zambia,66.53,68.87,64.1,14.10,1.19,11.60,4224.00,3.50,0.71,29.20,37.00,0.31,0.18,7.50,0.46,5.50
Zimbabwe,63.06,65.31,60.49,10.40,2.31,9.40,3922.00,3.34,0.75,54.90,22.00,0.55,0.17,3.80,0.64,6.40
